GP Practice,GP Practice No,Question Number,"Questionnaire 
Section",Question Text,Number of Responses,% Positive,% Neutral,% Negative
Dr Chalmers & Partners - Clydebank (40691),40691,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",79,41.66,0,58.34
Dr D.S.Dhami - Glasgow (46240),46240,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",65,63.17,0,36.83
Dr David F Troup & Partner - Arrochar (85009),85009,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",83,99.25,0,0.75
Dr Diane Kelly & Partners - Kirkintilloch (43100),43100,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",85,24.46,0,75.54
Dr DJ Clifford - Cumbernauld (61381),61381,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",76,41.84,0,58.16
Dr Ferguson & Partners - Glasgow (52128),52128,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",77,32.7,0,67.3
"Dr Friel & Dr Bagnall - Rutherglen Health Centre, Rutherglen (60181)",60181,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",83,85.31,0,14.69
"Dr G Smith & Partners - Govanhill Health Centre, Glasgow (49178)",49178,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",58,46.96,0,53.04
Dr GD Brough & Partners - Airdrie (62596),62596,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",74,49.6,0,50.4
Dr George Practice - Shotts (62897),62897,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",75,44.97,0,55.03
Dr Gordon Campbell & Dr Kirsten Halstvedt - Glasgow (43307),43307,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",88,14.44,0,85.56
Dr Haggerty - Glasgow (40281),40281,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",80,51.99,0,48.01
Dr Harris & Partners - Glasgow (43504),43504,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",61,54.84,0,45.16
Dr Ho Chong Teck - Glasgow (43468),43468,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",54,87.64,0,12.36
"Dr Hogan, Allen & Quinn - Greenock (86228)",86228,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",78,17.61,0,82.39
Dr I. Cullen - Glasgow (40188),40188,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",95,90.53,0,9.47
Dr JM Simpson & Partners - Hamilton (63481),63481,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",73,30.49,0,69.51
Dr K G Hardie & Partners - Glasgow (52359),52359,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",67,30.98,0,69.02
"Dr K Miller & Partners -  Lightburn Medical Centre, Glasgow (46201)",46201,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",68,65.49,0,34.51
Dr K N Lynn & Dr J M Mcdevitt - Dumbarton (85071),85071,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",62,40.55,0,59.45
Dr K Thompson - Lochgelly (21440),21440,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",54,17.83,0,82.17
Dr Kondol and Partners - Darvel (80787),80787,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",70,28.79,0,71.21
Dr Linda J Wright - Glasgow (49375),49375,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",58,78.14,0,21.86
Dr Lorna M Macgregor & Partner - Argyll (84006),84006,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",82,96.52,0,3.48
Dr M Duffy & Dr A Morgan - Glasgow (40722),40722,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",71,29.65,0,70.35
Dr M Khan - Glasgow (46151),46151,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",70,47.2,0,52.8
Dr M M Herbert & Partners - Hamilton (63423),63423,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",79,35.23,0,64.77
Dr M P Hamayun & Dr M R Masood - Glasgow (46396),46396,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",25,42.65,0,57.35
"Dr M Roushdy-Gemie & Dr M Smith - Yokermill Medical Centre, Glasgow (40390)",40390,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",67,67.76,0,32.24
Dr M Saleem - Glasgow (46447),46447,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",43,65.08,0,34.92
Dr M Showkat - Glasgow (43542),43542,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",59,55.46,0,44.54
"Dr M. M. Sharif & Dr M. T. Saleem - The Park Surgery, Glasgow (49712)",49712,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",53,67.83,0,32.17
Dr MacCuish Practice - Glasgow (52010),52010,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",62,60.44,0,39.56
Dr Mair & Partners - Glasgow (52241),52241,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",75,52.97,0,47.03
Dr Malcolm R Elder - Argyll (84063),84063,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",99,98.32,0,1.68
Dr McCulloch & Partners - Girvan (80289),80289,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",64,29.71,0,70.29
Dr McKeeve - Glasgow (52217),52217,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",74,79.85,0,20.15
Dr McLachlan & Partners - Helensburgh (85155),85155,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",75,76.47,0,23.53
Dr MV Church & Partners - Blantyre (63052),63052,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",85,42.18,0,57.82
Dr N G Kelly & Partners - Annan (18413),18413,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",71,77.53,0,22.47
Dr O Osibo - Airdrie (61170),61170,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",74,76.44,0,23.56
Dr Oliver Frenschock - Cambuslang (60162),60162,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",66,41.62,0,58.38
Dr P M R Von Kaehne - Lochgoilhead (84449),84449,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",41,91.74,0,8.26
Dr Paul Lyons - Glasgow (43557),43557,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",47,61.83,0,38.17
Dr Pilsworth & Partners - Glasgow (40402),40402,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",65,68.87,0,31.13
Dr R Afuakwah - Rutherglen (60158),60158,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",90,70.39,0,29.61
Dr Raheela Bhatti - Glasgow (52147),52147,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",65,44.01,0,55.99
Dr Rai & Partners - Clydebank (40703),40703,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",74,41.55,0,58.45
Dr Rai's Practice - Skelmorlie (80561),80561,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",86,28.08,0,71.92
"Dr Rasul & Partners - Woodside Health Centre, Glasgow (43453)",43453,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",32,54.77,0,45.23
Dr Richmond & Partners - Linwood (87409),87409,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",78,21.11,0,78.89
Dr Robert S B Coull - Cairndow (84684),84684,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",88,98.26,0,1.74
Dr S Ross - Glasgow (46165),46165,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",81,14.62,0,85.38
"Dr Sardar & Partners - The Surgery, Kilmarnock (80397)",80397,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",77,47.88,0,52.12
Dr Stephen H Dunn & Partners - Dumbarton (85090),85090,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",77,30.69,0,69.31
Dr Steve Allan & Partners - Edinburgh (70272),70272,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",80,80.43,0,19.57
"Dr Tittmar and Partner - Riverbank Surgery, Kilmun, Argyll (84716)",84716,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",93,86.31,0,13.69
Dr Turnbull & Dr Coyle - Glasgow (40559),40559,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",62,48.54,0,51.46
"Drs Adair, Denholm & Pugh - Woodside Health Centre, Glasgow (43218)",43218,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",47,40.21,0,59.79
Drs Al-Agilly & Morgan - Glasgow (46521),46521,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",74,69.68,0,30.32
Drs Ballantyne & Blair - Glasgow (43129),43129,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",77,51.65,0,48.35
"Drs Blair, Secrett & Coombs - Glasgow (40239)",40239,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",69,68.59,0,31.41
Drs Boardman & Partners - Glasgow (49159),49159,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",49,77.23,0,22.77
Drs Chita & Hayes - Glasgow (52109),52109,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",65,76.4,0,23.6
Drs Clokey & McShane - Hamilton (63476),63476,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",92,37.69,0,62.31
Drs Connaughton & Sudomir - Glasgow (46428),46428,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",75,57.12,0,42.88
"Drs Dale, Blackwood & Chambers - Rutland Surgery, Glasgow (52202)",52202,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",82,54.02,0,45.98
"Drs Dames & Lateef - Parkhead Health Centre, Glasgow (46235)",46235,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",72,13.52,0,86.48
"Drs Datta & Partners - Cardonald Medical Centre, Glasgow (52414)",52414,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",75,42.3,0,57.7
Drs Day & Raja - Glasgow (46381),46381,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",69,81.53,0,18.47
"Drs Dixon, Duggan, Egerton, MacKernan & McCrickard - Kirkcaldy (21007)",21007,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",86,21.19,0,78.81
"Drs Dunn, Lynas & Rodgers - Glasgow (46606)",46606,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",82,61.52,0,38.48
Drs E Manasses & Partners - Kilmacolm (86209),86209,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",75,68.35,0,31.65
Drs Gaw & Esler - Glasgow (43191),43191,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",75,87.44,0,12.56
Drs Geddes & Partners - Glasgow (49200),49200,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",67,78.8,0,21.2
Drs Ghaus & Khouly - Glasgow (52400),52400,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",86,31,0,69
"Drs Hall, Brennan & McLaughlin - Dunoon (84237)",84237,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",72,47.71,0,52.29
Drs Hilary Mcnaughtan &  Patrick J O'Neill - Glasgow (52185),52185,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",92,88.59,0,11.41
"Drs Howie, Smith & Dobbs - Johnstone (87339)",87339,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",72,54.56,0,45.44
Drs Keenan & Fisher - Motherwell (62702),62702,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",76,80.5,0,19.5
"Drs Lam, Wilson & Boyd - Glasgow (46112)",46112,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",69,20.4,0,79.6
Drs Langridge & Black - Glasgow (43538),43538,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",48,81.19,0,18.81
"Drs Leslie, Ojo & Chetty - Woodside Health Centre, Glasgow (43186)",43186,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",38,56.78,0,43.22
Drs Logan & Macdonald - Glasgow (40421),40421,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",67,69.69,0,30.31
Drs Macdonald & Mitchell - Port Glasgow (86285),86285,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",74,20.63,0,79.37
"Drs MacNeill, Clarey & Henderson - Sandyford Surgery, Glasgow (40455)",40455,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",59,56.51,0,43.49
"Drs Macpherson, Hanley & Tobin - Erskine (87184)",87184,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",97,45.28,0,54.72
"Drs McAlpine, Walker & Pettigrew, Glasgow (40277)",40277,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",71,84.13,0,15.87
"Drs Mccallum, Gardiner & Makun - Glasgow (46292)",46292,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",66,57.66,0,42.34
Drs McColl & McLaughlin - Glasgow (52255),52255,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",80,85.15,0,14.85
"Drs McGivern, Murthy & Sinha - Glasgow (49130)",49130,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",78,81.65,0,18.35
"Drs McHattie, McGregor & Holland - Troon (80611)",80611,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",73,37.52,0,62.48
"Drs McKenna, Murphy & McCallum - Kirkcaldy (20964)",20964,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",71,20.82,0,79.18
Drs Mckenzie & Burns - Glasgow (46095),46095,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",59,45.17,0,54.83
"Drs McMaster, Moore & Brooksbank - Girvan (80274)",80274,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",63,45.3,0,54.7
"Drs Meek, Fox & Jamieson - Wallacewell Medical Centre, Glasgow (43275)",43275,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",83,42.62,0,57.38
Drs Melrose and Sharp Partnership  - Glasgow (40328),40328,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",86,88.26,0,11.74
"Drs Mitchell, Fordyce & Lempke - Kirkcaldy (21011)",21011,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",55,66.67,0,33.33
Drs Morrice & Partners - Glasgow (49214),49214,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",65,65.03,0,34.97
"Drs Oliver, Greeley, Innes & Spratt - Castle Douglas (18216)",18216,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",78,84.79,0,15.21
"Drs Page, McDonald & Stevenson - Leven (21276)",21276,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",93,44.88,0,55.12
"Drs Quigley, Canning, Wedlock& Rosiou - Glasgow (52221)",52221,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",79,32.43,0,67.57
Drs Rao/Raman - Holytown (62120),62120,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",60,29.97,0,70.03
Drs Reid & MacLaren Partnership - Glasgow (40031),40031,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",80,90.62,0,9.38
"Drs Rennie, Gallacher & Steel - Grantley Medical Practice, Glasgow (49553)",49553,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",74,69.81,0,30.19
"Drs Sharpe, Putta & Burns Practice - Edinburgh (70906)",70906,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",68,62.76,0,37.24
"Drs Simpson, Luty & Ormond - Kilmacolm (86196)",86196,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",66,54.61,0,45.39
Drs Tierney & Canning - Glasgow (60110),60110,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",88,32.84,0,67.16
"Drs Twiddy, Thyne & Partners - Edinburgh (70408)",70408,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",70,84.3,0,15.7
Drumchapel Medical Practice - Glasgow (40544),40544,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",84,83.92,0,16.08
Drumnadrochit Medical Practice - Inverness (55728),55728,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",79,88.11,0,11.89
Dryburgh Medical Practice - Wishaw (62914),62914,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",65,53.83,0,46.17
Drymen Health Centre - Drymen (25898),25898,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",68,82.68,0,17.32
Dunbeath Surgery - Caithness (55075),55075,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",83,100,0,0
Dunblane Medical Practice - Dunblane (25243),25243,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",70,64.8,0,35.2
Dundonald Medical Practice - Dundonald (80255),80255,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",70,46.65,0,53.35
Dunedin Medical Practice - Inverness (56011),56011,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",75,70.26,0,29.74
Duns Medical Group - Duns (16282),16282,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",64,36.48,0,63.52
Dunvegan Medical Practice - Isle Of Skye (55535),55535,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",91,96.29,0,3.71
Durham Road Medical Group - Edinburgh (70605),70605,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",91,34.17,0,65.83
Earlston Medical Practice - Earlston (16564),16564,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",76,83.83,0,16.17
Easdale Medical Practice - Isle of Seil (84275),84275,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",110,99.08,0,0.92
East Calder Medical Practice - East Calder (78024),78024,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",69,30.62,0,69.38
East Linton Surgery - East Linton (76194),76194,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",66,84,0,16
"East Practice, Springfield Medical Centre - Arbroath (10286)",10286,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",65,48.19,0,51.81
Eastfield Medical Practice - Penicuik (77036),77036,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",74,79.91,0,20.09
Eastwoodmains Medical Practice - Glasgow (49445),49445,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",60,74.44,0,25.56
"Ecclefechan Surgery - Ecclefechan, Lockerbie (18451)",18451,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",50,90.7,0,9.3
Eden Villa Practice - Cupar (20409),20409,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",54,52.89,0,47.11
Edenkiln Surgery - Strathblane (25065),25065,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",79,62.19,0,37.81
Edzell Health Centre - Edzell (13091),13091,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",64,87.53,0,12.47
Eglinton Family Practice - Irvine (80330),80330,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",75,18.73,0,81.27
Eglinton Medical Centre - Glasgow (49093),49093,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",44,54.96,0,45.04
Eildon Surgery - Newtown St Boswells (16051),16051,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",66,47.09,0,52.91
Ellon Group Practice - Ellon (31901),31901,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",61,15.47,0,84.53
Elmbank Group Practice - Aberdeen (30203),30203,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",64,57.5,0,42.5
Elmwood Medical Practice - Clarkston (49619),49619,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",63,48.05,0,51.95
Erskine Practice - Dundee (11486),11486,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",71,42.33,0,57.67
Eyemouth Medical Practice - Eyemouth (16507),16507,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",77,18.36,0,81.64
Fairfield Medical Practice - Inverness (55836),55836,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",74,37.81,0,62.19
Fallin Health Centre - Fallin (25169),25169,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",74,48.49,0,51.51
Family Medical Group - Dundee (11382),11382,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",81,18.27,0,81.73
Ferguson Medical Practice - Broxburn (78062),78062,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",71,62.24,0,37.76
Fernbank Medical Centre - Glasgow (43326),43326,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",53,44.12,0,55.88
Ferniehill Surgery - Edinburgh (70164),70164,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",66,43.04,0,56.96
Finlayson Street Practice - Fraserburgh (31511),31511,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",61,15.97,0,84.03
Fochabers Medical Practice - Fochabers (32750),32750,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",88,29.26,0,70.74
Forestbank Medical Partnership - Harthill (62844),62844,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",77,36.17,0,63.83
"Forth Medical Group - Bannockburn, Stirling (26015)",26015,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",53,13.21,0,86.79
Forthview Practice - Bo'ness (25070),25070,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",75,73.53,0,26.47
Fortrose Medical Practice - Fortrose (55381),55381,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",92,70.15,0,29.85
Frew Terrace Surgery - Irvine (80698),80698,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",80,27.09,0,72.91
Friockheim Health Centre - Friockheim (13335),13335,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",64,87.47,0,12.53
Fullwood Medical Practice - New Stevenson (62045),62045,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",60,22.97,0,77.03
Fulton Street Medical Centre - Glasgow (40008),40008,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",81,60.18,0,39.82
Fyvie Oldmeldrum Medical Group - Oldmeldrum (31719),31719,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",64,35.3,0,64.7
Gairbraid Medical Practice - Glasgow (43011),43011,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",101,33.15,0,66.85
Galloway Hills Medical Practice - Newton Stewart (18625),18625,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",70,43.37,0,56.63
Gallowhill Medical Centre - Larkhall (63512),63512,4,The GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",66,70.33,0,29.67
