gp_practice,gp_number,DataZone,PracticeListSize,q1_positive,q2_positive,q3_positive,income_rank,employment_rank,health_rank,housing_rank,education_rank,access_rank,employment_rate,CIF,working_age_percentage,urban_location,minority_pop,age_distribution,gender_distribution,employment_percentage
Church Street Surgery - Dunoon (84241),84241,S01007367,4086,67.55,92.36,80.99,1072,1007,1978,2385,2659,6784,0.17,150,54.77,0,6.23,58.76,51.03,75.8
Cill Chuimein Medical Centre - Fort Augustus (55732),55732,S01010668,1544,66.92,72.11,86.8,4859,4817.5,5655,4046,5014,558,0.05,50,61.45,0,5.34,63.73,49.48,78.6
Clackmannan & Kincardine Medical Practice - Clackmannan (25135),25135,S01007450,7008,57.2,78.27,90.85,1620,1124,1609,1468,353,4965,0.17,145,64.31,1,2.33,62.76,50.94,72.9
Clyde Practice - Motherwell (62690),62690,S01011474,2629,94.01,84.72,97.1,851,564,332,3084,1501,6702,0.21,190,58.7,1,3.76,70.25,47.97,69.7
Clyde View Medical Practice - Wishaw (62671),62671,S01011401,8594,64.31,93.26,90.79,2364,2242,2251,4322,3098,6555,0.12,130,63.23,1,1.85,64.87,49.23,69.7
Clydeview Medical Practice - Renfrew (87700),87700,S01012183,9545,61.92,91.8,82.28,2367,2507.5,1591,1415,2066,5487,0.11,130,68.99,1,6.67,67.25,50.8,77.1
Coast Health - Fife (21736),21736,S01009704,5196,80.07,89.16,89.23,3996,4435,5786,5077,5146,6500,0.05,55,56.6,1,2.29,57.47,51.35,70.4
Coatbank Medical Practice - Coatbridge (61451),61451,S01011601,7759,54.43,84.6,83.84,5703.5,5548.5,4191,3727,4062,4519,0.03,75,71.43,1,5.07,67.53,51.35,69.7
Cochrane Medical Practice - Greenock (86374),86374,S01010886,14584,45.85,88.13,78.39,1331,872,1280,1743,2279,5980,0.18,165,71.19,1,2.01,66.79,49.97,68.2
Coldside Medical Practice - Dundee (11166),11166,S01007718,8931,66.2,90.74,73.77,471,459.5,894,330,645,6749,0.22,190,69.96,1,15.97,66.57,50.17,71.7
Coldstream Medical Practice - Coldstream (16206),16206,S01012324,3865,75.74,83.9,94.42,4280,3881,4665,4315,4891,519,0.07,60,56.25,0,2.23,54.57,51.15,79.3
Colinton Surgery - Edinburgh (70131),70131,S01008446,11877,85.69,94.68,96.98,6913,6936,6922,6743,6935,2485,0.01,20,55.08,1,12.15,61.33,48.32,73.9
Comrie Medical Centre - Comrie (10708),10708,S01011859,2698,90.85,92.62,94.37,2703,3504,3908,3927,4136,3733,0.08,90,48.24,0,3.34,53.52,51.63,75.3
Condorrat Medical Practice - Cumbernauld (61324),61324,S01011729,5289,43.98,70.86,69.31,1503,923,916,2068,652,5426,0.18,165,61.36,1,2.11,62.73,49.56,69.7
Cos Lane Surgery - Glenrothes (20659),20659,S01009584,9027,60.62,80.24,88.27,4954,5093,5365,6121,4040,4380,0.04,60,56.12,1,6.15,64.27,50.14,70.4
Coupar Angus Medical Centre (10746),10746,S01011969,5973,87.23,85.59,90.3,3643,3282,3755,4221,2466,3404,0.08,85,59.94,0,3.25,61.18,50.09,75.3
Cowal Medical Practice - Dunoon (84256),84256,S01007367,2885,50.99,90.89,79.48,1072,1007,1978,2385,2659,6784,0.17,150,54.77,0,6.23,58.44,50.29,75.8
Cowdenbeath Surgery - Cowdenbeath (20305),20305,S01009415,11403,38.52,80.95,84.5,1677.5,2025,1135,3093,2164,6832,0.13,140,65.42,1,3.32,64.98,50.47,70.4
Craig Nevis Surgery - Fort William (55605),55605,S01010510,3757,90.5,83.31,87.94,3824,4243,3432,4463,3203,2408,0.06,85,56.55,1,3.41,64.65,49.59,78.6
Craiglockhart Medical Group - Edinburgh (70610),70610,S01008526,9201,76.09,97.84,91.58,2835,3431,3606,2578.5,3582,5875,0.08,85,62.04,1,12.12,63.74,51.65,73.9
Craigmillar Medical Group - Edinburgh (70215),70215,S01008705,11110,70.75,82.14,85.44,795,1160,1307,1898,1113,6684,0.17,185,63.67,1,21.4,71.29,49.68,73.9
Craigvinean Surgery - Dunkeld (13049),13049,S01012008,4091,93.33,92.99,92.41,4302,3500,4972,2935,4965,866,0.08,70,66.49,0,7.91,60.57,51.87,75.3
Crail Medical Practice - Glasgow (46131),46131,S01010060,4251,54.6,86.74,74.78,880,551,660,342,899,6856,0.21,195,71.47,1,8.59,70.38,49.54,69.8
Cramond Medical Practice - Edinburgh (71129),71129,S01008941,8629,55.66,81.98,84.12,6536,6544,6635,6210,6863,3899,0.02,35,55,1,6.02,57.24,51.34,73.9
Creich Surgery - Bonar Bridge (55291),55291,S01010763,1651,95.85,99.34,95.01,2868,3392,4448,4720,2974,827,0.08,80,58.94,0,2.04,58.51,51.3,78.6
Crewe Medical Centre - Edinburgh (70573),70573,S01008909,10011,57.99,90.65,84.87,2320,3069,3199,2466,1320,6086,0.09,95,67.1,1,11.04,72.69,49.28,73.9
Crimond Medical Centre - Crimond (31601),31601,S01007101,3455,84.69,88.28,94.98,2471,2413,2672,2950,998,819,0.11,100,59.4,0,2.82,61.22,50.74,79.5
Croftfoot Surgery - Glasgow (49106),49106,S01009989,7134,83.72,96.03,96.13,2503,1988,2006,1525.5,1226,6864,0.13,130,68.14,1,4.7,75.71,40.34,69.8
Cromarty Medical Practice - Cromarty (56538),56538,S01010731,1087,90.02,93.82,96.33,3615,4513,4279,4198,3660,1154,0.05,70,59.02,0,5.41,59.06,51.33,78.6
Cromwell Harbour Medical Practice - Dunbar (76180),76180,S01008291,4905,80.74,96.8,94.32,5614,4823,4763,5994,5169,5032,0.05,50,50.96,0,1.53,61.81,51.62,75.3
Crookston Medical Practice - Glasgow (52344),52344,S01009794,6661,85.7,99.39,96.68,5735,6044,5421,5929,6008,3116,0.03,55,69.92,1,4.65,69.64,51.43,69.8
Crossgates Medical Practice - Fife (20358),20358,S01009406,4280,47.33,84.78,85.65,3277,3455,2966,4387,2354,6254,0.08,90,60.22,1,2.16,65.09,51.05,70.4
Crosshouse Medical Practice - Crosshouse (80166),80166,S01008027,3833,56.59,89.14,74.47,2313,3508.5,1850,3715,1120,1577,0.08,125,59.18,0,3.01,62.48,49.02,73
Crown Medical Practice - Inverness (55893),55893,S01010629,6101,70.3,85.11,89.74,3746.5,3109,4214,4792,4521,6797,0.09,70,57.2,1,7.06,67.63,50.94,78.6
Croyard Road Surgery - Beauly (55709),55709,S01010661,6175,85.75,92.07,94.42,2379.5,2476,3298,4043,3867,6598,0.11,85,58.67,0,3.98,61.85,50.7,78.6
Cruden Medical Group - Peterhead (31615),31615,S01007071,3725,38.06,75.27,70.67,4333,4088,4734,5182,4080,2268,0.06,70,66.42,0,1.71,63.06,49.61,79.5
Culbin Medical Practice - Forres (32815),32815,S01011163,8170,57.69,64.41,86.16,2712,2950.5,3448,2446,1696,4011,0.09,80,63.72,1,1.91,60,51.31,75.3
Culloden Medical Practice - Inverness (55766),55766,S01010572,6871,73.26,75.47,89.47,3050,2857,2444,2368,2405,6675,0.1,120,62.67,1,6.8,66.38,51.72,78.6
Culloden Surgery - Inverness (55751),55751,S01010572,6093,80.49,91.5,93.86,3050,2857,2444,2368,2405,6675,0.1,120,62.67,1,6.8,64.8,50.99,78.6
Cults Medical Group - Aberdeen (31230),31230,S01006524,7973,78.75,82.48,95.2,3368,2956,4161,6240,6256,3281,0.09,90,59.56,1,17.4,58.42,50.11,71.8
Cumbrae Medical Practice - Millport (80679),80679,S01011327,1191,76.94,72.94,85.42,1429,354,1452,372,1873,5183,0.24,140,52.89,0,1.77,55.16,50.97,67.7
Dailly Medical Practice - Dailly (80185),80185,S01012420,1352,83,99.2,94.7,2514,2842,2275,3128,2853,916,0.1,120,62.64,0,2.35,60.87,48.37,71.9
Daisy Villa - Orkney (38051),38051,S01011828,1544,94.23,97.09,96.8,4400,3751,4354,3652,4235,179,0.07,80,56.98,0,1.98,59.46,48.51,83.7
Dalbeattie Medical Practice - Dalbeattie (18240),18240,S01007543,4889,77.59,87.09,95.58,2420,2349,1974,3154,3212,5888,0.11,120,61.93,1,1.11,55.94,50.09,68.3
Dalblair Medical Practice - Ayr (80077),80077,S01012482,2252,85.13,79.97,83.62,3337,2009,2014,3746,4357,6840,0.13,100,51.25,1,5.51,62.97,50.44,71.9
Dalhousie Medical Practice - Bonnyrigg (77055),77055,S01010983,8914,62.12,91.68,86.95,3132,2908.5,2908,4417,3188,5380,0.09,100,62.77,1,3.08,64.91,51.51,77.4
Dalkeith Medical Practice - Dalkeith (77197),77197,S01011010,10111,53.05,84.66,82.12,725,157,838,2991,733,5844,0.27,175,65.4,1,10.19,63,51.11,77.4
Dalkeith Road Medical Practice - Edinburgh (70470),70470,S01008598,3885,82.4,79.18,93.87,4906,5420,5081,652,5454,4958,0.04,60,74.75,1,24.61,73.46,51.17,73.9
Dalmarnock Family Medical Practice - Glasgow (46574),46574,S01010055,1196,59.87,56.1,83.49,195,69,10,215,416,5869,0.31,250,69.65,1,9.06,72.16,42.64,69.8
Dalmellington Medical Practice - Dalmellington (80202),80202,S01007874,3517,75.95,89.95,94.84,1193,1146,506,4329,1949,6550,0.17,190,62.91,0,1.66,64.12,49.59,73
Dalry Medical Practice - Dalry (80217),80217,S01011302,6128,70.41,94.37,90.79,486,155,416,3196,1128,5841,0.28,190,61.64,1,1.29,64.59,50.98,67.7
Danderhall Medical Practice - Danderhall (77200),77200,S01011002,4387,41.91,66.39,68.05,2875,2324,2314,2405,1405,6023,0.11,130,61.7,0,3.82,65.76,51.13,77.4
Danestone Medical Practice - Aberdeen (31259),31259,S01006757,5514,72.08,93.09,94.53,6697,6327,4601,5386,5034,6014,0.02,50,61.96,1,5.62,67.85,50.53,71.8
Davidson's Mains Medical Centre - Edinburgh (70709),70709,S01008937,5786,84.96,86.7,93.08,5387.5,5806,5515,2283,5954,6030,0.03,50,63.09,1,8.54,65.3,51.33,73.9
Dedridge Medical Group - Livingston (78260),78260,S01013278,9977,70.71,90.87,87.68,1445,1307,899,2591,1703,5141,0.16,150,58.08,1,5.69,68.17,50.43,74.5
Denny Cross Medical Centre - Denny (25173),25173,S01009057,5263,65.07,92.31,84.85,758,1067,1180,2122,693,6893,0.17,165,61.44,1,3.06,65.95,49.55,75.2
Dingwall Medical Group - Dingwall (55376),55376,S01010716,11492,75.75,84.41,86.91,2529,2560,2741,1799,1084,3378,0.1,95,61.69,0,14.19,61.91,49.59,78.6
Dollar Health Centre - Dollar (25210),25210,S01007444,5306,85.64,93.57,95.2,4971,5169,5564,5817.5,6289,4329,0.04,50,59.92,0,4.66,62.51,50.41,72.9
Dornoch Medical Practice - Sutherland (55201),55201,S01010760,2697,93.87,91.87,96.44,3813,3981.5,4329,4902,4147,5204,0.06,75,45.95,0,3.29,56.17,53.28,78.6
Douglas Street Surgery - Hamilton (63457),63457,S01012793,7670,40.55,64.52,73.4,989,633,585,997,75,6604,0.2,210,70.22,1,11.6,68.17,49.58,76.9
Douglasdale Medical Practice - Douglas (62510),62510,S01012638,5384,85.91,88.79,96.72,2428,2885,2663,4001,2193,2974,0.09,110,60.77,0,1.95,65.23,49.76,76.9
Dounby Surgery - Orkney (38210),38210,S01011807,2852,82.75,84.63,96.39,6573,6605,5930,3895,5201,309,0.02,40,58.97,0,2.11,59.99,49.72,83.7
Doune Health Centre - Doune (25224),25224,S01013107,4267,87.22,80.88,93.87,5167,5734,6641,6456,6453,769,0.03,40,57.99,0,1.21,63.16,49.68,74.8
Downfield Surgery - Dundee (11823),11823,S01007823,8502,64.36,96.23,88.37,4926,4577,4917,5094,4899,6544,0.05,65,62.84,1,2.59,64.7,50.34,71.7
Dr  A Khan - Glasgow (40460),40460,S01010376,2103,88.33,96.72,98.85,4990,5679,5878,282,6239,6906,0.03,50,90.72,1,32.63,78.79,40.51,69.8
Dr A Comiskey and Partners - Edinburgh (70639),70639,S01008587,11209,91.89,99.07,96.33,5195.5,6698,5352,5630,6006,2338,0.02,50,70.04,1,32.06,70.63,51.24,73.9
Dr A MacGregor & Dr N Hallum - Tighnabruaich (84773),84773,S01007351,1131,82.4,94.9,91.34,3650,2340,4330,2443.5,4505,1274,0.11,70,55.49,0,2.89,55.97,49.6,75.8
Dr A P Jackson & Partners - Glasgow (40351),40351,S01010403,5072,93.44,100,97.19,6028,6234,5897,3608,6861,6151,0.02,45,67.13,1,13.51,71.25,49.01,69.8
Dr A Porte & Partners - Motherwell (62717),62717,S01011381,9974,77.83,95.17,89.21,3325,3464,2571,3048,3361,4859,0.08,115,64.48,1,4.05,65.66,50.87,69.7
Dr A. Polding - Glasgow (43063),43063,S01010212,2752,75.71,92.51,80.97,73,56,85,353,871,5984,0.32,245,67.55,1,13.94,71.22,50,69.8
Dr Alam's Surgery - Glasgow (52260),52260,S01009867,1558,82.23,95.02,88.93,2469,2779,1324,1233,2392,4666,0.1,135,80.95,1,19.43,70.67,42.17,69.8
Dr Ali & Dr Mackenzie - Glasgow (46023),46023,S01010055,2509,76.93,93.27,94.74,195,69,10,215,416,5869,0.31,250,69.65,1,9.06,72.34,48.07,69.8
Dr Burton & Dr Krishnan - Glasgow (43082),43082,S01010305,2333,57.18,90.79,83.43,635,1247,640,538,2788,6142,0.16,210,74.7,1,16.98,72.05,45.56,69.8
Dr C Mills & Partners - Glasgow (49074),49074,S01010034,3443,78.03,84.27,87.52,734,1121,526,336,918,4478,0.17,195,71.34,1,19.02,77.87,46.18,69.8
Dr C O'Neill - Isle of Coll (84097),84097,S01007284,174,89.7,95.55,90.38,4192,4066,4346,2552,4099,30,0.06,75,57.11,0,2,64.37,50.57,75.8
"Dr C P Fraser & Partners - Govanhill Health Centre, Glasgow (52039)",52039,S01009890,5655,80.01,93.65,90.12,1205,947,1649,41,1218,6973,0.18,140,63.96,1,36.17,72.08,45.06,69.8
Dr Carroll & Partners - Cumbernauld (61343),61343,S01011745,12079,43.45,78.46,79.59,1779,2510,737,2521,1512,3847,0.11,175,52.46,1,4.36,69.43,50.81,69.7
Dr Cassidy & Partners - Johnstone (87343),87343,S01012046,4050,60.9,91.3,86.98,710,528,485,1883,1231,6711,0.21,200,65.54,1,2.48,64.64,50.89,77.1
Dr Chalmers & Partners - Clydebank (40691),40691,S01013128,6912,57.24,73.99,84.45,949.5,679,718,464,424,2290,0.2,185,79.83,1,3.69,66.9,49.26,72.8
Dr D.S.Dhami - Glasgow (46240),46240,S01010114,1928,88.68,98.79,91.99,31,41,13,546,38,6494,0.33,290,66.53,1,7.85,69.29,47.25,69.8
Dr David F Troup & Partner - Arrochar (85009),85009,S01007358,1114,96.89,98.58,99.3,5510,5708,5268,2485,5010,555,0.03,60,66.22,0,6.8,68.85,48.92,75.8
Dr Diane Kelly & Partners - Kirkintilloch (43100),43100,S01008131,7217,59.86,92.75,84.67,1293,817,931,1423,2794,4315,0.19,165,66.91,1,2.48,61.66,50.81,75.9
Dr DJ Clifford - Cumbernauld (61381),61381,S01011761,3031,77.55,89.11,86.79,2176,3242,2436,3295,1654,6612,0.08,155,68.42,1,5,67.57,48.73,69.7
Dr Ferguson & Partners - Glasgow (52128),52128,S01009867,10428,55.77,85.97,75.08,2469,2779,1324,1233,2392,4666,0.1,135,80.95,1,19.43,68.74,49.8,69.8
"Dr Friel & Dr Bagnall - Rutherglen Health Centre, Rutherglen (60181)",60181,S01012860,3897,90.99,94.67,96.59,3097,3909,2856,3932,4225,6488,0.07,95,46.91,1,1.41,63.15,49.65,76.9
"Dr G Smith & Partners - Govanhill Health Centre, Glasgow (49178)",49178,S01009890,5598,76.59,81.53,86.36,1205,947,1649,41,1218,6973,0.18,140,63.96,1,36.17,72.58,45.93,69.8
Dr GD Brough & Partners - Airdrie (62596),62596,S01011624,7446,53.45,90.19,82.75,2269,2161,1965,4844,4036,2183,0.12,150,65.24,1,3.19,67.78,50.46,69.7
Dr George Practice - Shotts (62897),62897,S01011435,1962,26.45,52.27,56.05,5005,4597,3898,5276,4059,4583,0.05,90,65.8,1,2.7,67.13,45.31,69.7
Dr Gordon Campbell & Dr Kirsten Halstvedt - Glasgow (43307),43307,S01010338,3045,45.69,71.1,76.87,225,214,81,467,16,4981,0.26,275,63.8,1,4.79,67.91,50.74,69.8
Dr Haggerty - Glasgow (40281),40281,S01010488,1997,94.52,96.47,100,329,789,282,508,410,5095,0.19,235,65.22,1,8.27,64.85,49.37,69.8
Dr Harris & Partners - Glasgow (43504),43504,S01010212,7337,73.61,82.6,88.51,73,56,85,353,871,5984,0.32,245,67.55,1,13.94,69.89,48.92,69.8
Dr Ho Chong Teck - Glasgow (43468),43468,S01010305,1945,91.6,99.36,92.37,635,1247,640,538,2788,6142,0.16,210,74.7,1,16.98,76.81,42.11,69.8
"Dr Hogan, Allen & Quinn - Greenock (86228)",86228,S01010886,2884,70.79,97.02,84.77,1331,872,1280,1743,2279,5980,0.18,165,71.19,1,2.01,68.48,50.38,68.2
Dr I. Cullen - Glasgow (40188),40188,S01010402,2706,84.77,79.09,90.39,6073,6678,6761,3541.5,6743,6951,0.02,25,75.46,1,12.22,76.35,51.77,69.8
Dr JM Simpson & Partners - Hamilton (63481),63481,S01012710,7643,71.34,90.31,83.27,1299,1629,1600,3265,1675,5389,0.14,160,65.17,1,2.43,65.41,51.34,76.9
Dr K G Hardie & Partners - Glasgow (52359),52359,S01009840,8686,59.88,82.21,86.59,870,755,452,1110,1968,6562,0.19,225,62.24,1,1.35,68.34,50.61,69.8
"Dr K Miller & Partners -  Lightburn Medical Centre, Glasgow (46201)",46201,S01010159,3198,83.95,91.25,92.24,746,393,600,1441,2587,5583,0.23,200,59.12,1,3.54,69.23,50.75,69.8
Dr K N Lynn & Dr J M Mcdevitt - Dumbarton (85071),85071,S01013195,3461,70.39,89.42,85.84,1961,2054,1721,1351,3642,6476,0.12,140,68.85,1,3.03,64.61,48.57,72.8
Dr K Thompson - Lochgelly (21440),21440,S01009453,2227,67.67,76.9,86.89,1849,1455,1081,3993,2175,6643,0.15,160,62.91,1,1.27,65.6,49.44,70.4
Dr Kondol and Partners - Darvel (80787),80787,S01007944,7300,49.74,86.34,74.18,2476,1822,2182,4471,1759,3179,0.13,120,62.97,1,1.2,63.03,49.42,73
Dr Linda J Wright - Glasgow (49375),49375,S01010018,2066,78.3,80.15,89.93,1086,1362,1391,836,1920,6298,0.15,165,64.84,1,11.11,65.92,51.02,69.8
Dr Lorna M Macgregor & Partner - Argyll (84006),84006,S01007304,811,68.77,97.94,72.26,4589,5079,5498,2704.5,3371,3,0.04,55,58.64,0,5.05,58.94,50.31,75.8
Dr M Duffy & Dr A Morgan - Glasgow (40722),40722,S01010499,4307,67.3,92.99,83.81,41,75,78,258,64,6363,0.31,240,59.89,1,15.3,69.07,49.45,69.8
Dr M Khan - Glasgow (46151),46151,S01010050,2420,68.44,87.74,90.03,420,547,458,335,147,5731,0.21,180,63.78,1,10.47,69.38,47.11,69.8
Dr M M Herbert & Partners - Hamilton (63423),63423,S01012713,6753,58.22,83.23,80.18,5065,4677,4299,5755,4936,6019,0.05,70,57.83,1,3.71,66.25,50.3,76.9
Dr M P Hamayun & Dr M R Masood - Glasgow (46396),46396,S01010055,1429,66.79,77.09,80.19,195,69,10,215,416,5869,0.31,250,69.65,1,9.06,77.89,36.81,69.8
"Dr M Roushdy-Gemie & Dr M Smith - Yokermill Medical Centre, Glasgow (40390)",40390,S01010447,2368,84.87,86.95,88.21,335,290,514,483,2362,6121,0.25,215,69,1,9.73,66.26,49.49,69.8
Dr M Saleem - Glasgow (46447),46447,S01010055,1541,58.47,78.27,73.56,195,69,10,215,416,5869,0.31,250,69.65,1,9.06,77.55,41.73,69.8
Dr M Showkat - Glasgow (43542),43542,S01010311,2574,60.61,77.88,70.98,183,349,150,369,117,6379,0.24,245,70.44,1,10.96,68.3,49.22,69.8
"Dr M. M. Sharif & Dr M. T. Saleem - The Park Surgery, Glasgow (49712)",49712,S01009924,1769,66.37,61.75,79.57,2815,3073,3748,441,3778,6624,0.09,110,79.02,1,23.04,72.64,46.58,69.8
Dr MacCuish Practice - Glasgow (52010),52010,S01009968,1813,69.21,81.91,79.83,4029.5,3360,3647,2168,4653,6434,0.08,105,65.96,1,4.28,65.09,50.08,69.8
Dr Mair & Partners - Glasgow (52241),52241,S01009851,7080,75.06,90.59,88.6,681,556,625,2047,1835,4658,0.21,180,66.1,1,3.4,74.28,44.86,69.8
Dr Malcolm R Elder - Argyll (84063),84063,S01007330,577,91.66,98.26,97.49,3073,2660,4081,4367,4779,465,0.1,90,54.14,0,1.67,46.62,49.05,75.8
Dr McCulloch & Partners - Girvan (80289),80289,S01012433,3725,65.73,92.33,93.99,1119,869,1352,2949,2391,6040,0.18,155,58.91,0,2.58,60.08,51.76,71.9
Dr McKeeve - Glasgow (52217),52217,S01009867,2018,75.86,92,94.1,2469,2779,1324,1233,2392,4666,0.1,135,80.95,1,19.43,74.68,46.09,69.8
Dr McLachlan & Partners - Helensburgh (85155),85155,S01007397,9034,78.09,94.4,91.73,3661,3361,4006,4336,4926,4795,0.08,85,57.33,1,5.3,59.7,52.17,75.8
Dr MV Church & Partners - Blantyre (63052),63052,S01012760,5399,65.81,80.62,89.94,671,690,963,1292,959,6315,0.2,165,61.22,1,2.88,66.98,49.34,76.9
Dr N G Kelly & Partners - Annan (18413),18413,S01007661,7491,80.45,94.59,90.93,2890,3014.5,2658,3825,2880,6902,0.09,100,62.65,1,5.15,61.49,50.23,68.3
Dr O Osibo - Airdrie (61170),61170,S01011643,1737,74.43,63.6,80.41,4137,5612,2752,3339,4476,5212,0.03,95,66.91,1,6.61,62.52,50.2,69.7
Dr Oliver Frenschock - Cambuslang (60162),60162,S01012846,1643,42.93,59.87,61.62,514,766,509,1662,1456,6699,0.19,195,60.73,1,3.67,68.35,46.44,76.9
Dr P M R Von Kaehne - Lochgoilhead (84449),84449,S01007355,520,75.91,100,84.23,3380,3349,3794,3802,3164,126,0.08,90,53.48,0,3.17,63.27,46.35,75.8
Dr Paul Lyons - Glasgow (43557),43557,S01008100,1705,53.17,71.55,83,4122,6515,2429,6523,6058,4424,0.02,90,56.56,1,11.31,67.39,45.28,75.9
Dr R Afuakwah - Rutherglen (60158),60158,S01012862,1541,98.93,100,98.8,364,92,262,812,671,5845,0.3,215,66.67,1,11.56,62.1,52.04,76.9
Dr Raheela Bhatti - Glasgow (52147),52147,S01009762,1356,47.02,40.66,68.46,830,1946,1499,870,547,6870,0.13,165,67.71,1,25.05,70.5,49.93,69.8
Dr Rai & Partners - Clydebank (40703),40703,S01013128,2990,61.58,90.88,84.73,949.5,679,718,464,424,2290,0.2,185,79.83,1,3.69,68.73,44.68,72.8
Dr Rai's Practice - Skelmorlie (80561),80561,S01011337,4098,54.99,79.45,82.36,5124,5528,5769,6569,6092,2762,0.03,50,60.18,1,3.67,57.08,50.07,67.7
"Dr Rasul & Partners - Woodside Health Centre, Glasgow (43453)",43453,S01010305,6990,80.58,95.45,92.21,635,1247,640,538,2788,6142,0.16,210,74.7,1,16.98,89,42.72,69.8
Dr Richmond & Partners - Linwood (87409),87409,S01012221,5667,57.63,95.01,82.67,1173,1881.5,820,2545,2813,6063,0.13,170,58.24,1,2.07,65.84,52.18,77.1
Dr Robert S B Coull - Cairndow (84684),84684,S01007357,961,93.87,92.37,88.25,3859,3829,4387,3058,5275,412,0.07,85,52.32,0,5.23,59.52,49.22,75.8
Dr S Ross - Glasgow (46165),46165,S01010147,3698,45.66,78.26,71.24,138,267,98,667,55,6941,0.25,250,69.96,1,6.61,69.66,47.86,69.8
"Dr Sardar & Partners - The Surgery, Kilmarnock (80397)",80397,S01008013,10941,70.42,93.52,90.18,1374,917,1390,2285.5,3935,5954,0.18,130,54.89,1,2.87,65.5,50.69,73
Dr Stephen H Dunn & Partners - Dumbarton (85090),85090,S01013195,4403,72.21,83.92,85.8,1961,2054,1721,1351,3642,6476,0.12,140,68.85,1,3.03,66.82,52.19,72.8
Dr Steve Allan & Partners - Edinburgh (70272),70272,S01008823,10409,82.99,82.72,87.26,6176,5536,6534,4852,6379,6378,0.03,35,59.6,1,11.26,68.63,51.36,73.9
"Dr Tittmar and Partner - Riverbank Surgery, Kilmun, Argyll (84716)",84716,S01007355,1537,88.92,93.18,94.27,3380,3349,3794,3802,3164,126,0.08,90,53.48,0,3.17,55.37,49.58,75.8
Dr Turnbull & Dr Coyle - Glasgow (40559),40559,S01010499,2700,70.36,86.83,86.47,41,75,78,258,64,6363,0.31,240,59.89,1,15.3,67.63,52.26,69.8
"Drs Adair, Denholm & Pugh - Woodside Health Centre, Glasgow (43218)",43218,S01010305,5965,73.26,93.37,92.91,635,1247,640,538,2788,6142,0.16,210,74.7,1,16.98,78.24,40.65,69.8
Drs Al-Agilly & Morgan - Glasgow (46521),46521,S01010155,6333,83.33,90.44,84.14,1222,1621,719,1263,1390,6570,0.14,180,60,1,1.75,68.17,50.62,69.8
Drs Ballantyne & Blair - Glasgow (43129),43129,S01010212,3493,78.02,77.31,92.98,73,56,85,353,871,5984,0.32,245,67.55,1,13.94,70.68,48.24,69.8
Drs Boardman & Partners - Glasgow (49159),49159,S01008383,7162,71.96,74.06,80.31,6362,5979,5750,6736,6922,6608,0.03,50,62.17,1,5.63,63.53,51.35,73.6
Drs Chita & Hayes - Glasgow (52109),52109,S01009873,2849,72.27,78.28,84.41,2304,2958,2279,873,4628,3574,0.09,115,69.74,1,27.49,76.45,44.09,69.8
Drs Clokey & McShane - Hamilton (63476),63476,S01012711,5138,71.65,84.76,86.42,629,549,483,2393,847,5255,0.21,175,61.97,1,2.19,66.72,51.3,76.9
Drs Connaughton & Sudomir - Glasgow (46428),46428,S01010055,4525,76.01,88.81,81.41,195,69,10,215,416,5869,0.31,250,69.65,1,9.06,74.74,49.52,69.8
"Drs Dale, Blackwood & Chambers - Rutland Surgery, Glasgow (52202)",52202,S01009867,3874,62.63,75.31,82.16,2469,2779,1324,1233,2392,4666,0.1,135,80.95,1,19.43,79.89,45.82,69.8
"Drs Dames & Lateef - Parkhead Health Centre, Glasgow (46235)",46235,S01010052,4918,42.21,76.19,75.71,666,320,193,129,224,6258,0.24,225,75.35,1,20.83,70.41,50.71,69.8
"Drs Datta & Partners - Cardonald Medical Centre, Glasgow (52414)",52414,S01009806,5083,62.01,82.05,92.33,1217,1123,725,964,2479,5595,0.17,170,50.98,1,8.88,66.85,52.19,69.8
Drs Day & Raja - Glasgow (46381),46381,S01010055,2337,79.17,85.22,84.65,195,69,10,215,416,5869,0.31,250,69.65,1,9.06,74.2,45.79,69.8
"Drs Dixon, Duggan, Egerton, MacKernan & McCrickard - Kirkcaldy (21007)",21007,S01009522,7734,59.4,88.68,82.55,1715,2252,1318,3422,1079,5280,0.12,145,60.84,1,12.96,63.54,49.61,70.4
"Drs Dunn, Lynas & Rodgers - Glasgow (46606)",46606,S01010055,3186,76.45,85.77,88.54,195,69,10,215,416,5869,0.31,250,69.65,1,9.06,71.09,47.83,69.8
Drs E Manasses & Partners - Kilmacolm (86209),86209,S01010816,3546,78.51,77.7,86.72,5462,6490,4698,5376,6558,5906,0.02,60,51.91,1,2.05,62.97,50.93,68.2
Drs Gaw & Esler - Glasgow (43191),43191,S01010305,3314,87.88,92.27,91.54,635,1247,640,538,2788,6142,0.16,210,74.7,1,16.98,75.17,45.93,69.8
Drs Geddes & Partners - Glasgow (49200),49200,S01009926,4891,90.42,85.41,97.38,3627.5,4954,4669,358,4309,6299,0.04,75,75,1,21.73,74.79,50.97,69.8
Drs Ghaus & Khouly - Glasgow (52400),52400,S01009775,5930,69.18,91.43,88.75,155,217,19,471,485,5151,0.26,275,61.19,1,5.24,70.42,51.26,69.8
"Drs Hall, Brennan & McLaughlin - Dunoon (84237)",84237,S01007367,4222,85.24,89.43,95.58,1072,1007,1978,2385,2659,6784,0.17,150,54.77,0,6.23,58.43,49.29,75.8
